,Airline,Date,Source City,Destination City,Departure Time,Arrival Time,Duration,Stops,Price
1355,Vistara,17-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1356,Vistara,17-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1357,Vistara,17-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1358,Vistara,17-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1359,Vistara,17-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1360,IndiGo,17-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1361,IndiGo,18-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1362,Air India,18-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1363,IndiGo,18-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1364,IndiGo,18-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1365,IndiGo,18-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1366,IndiGo,18-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1367,IndiGo,18-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1368,IndiGo,18-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1369,IndiGo,18-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1370,IndiGo,18-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1371,IndiGo,18-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1372,Go First,18-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1373,Go First,18-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1374,Go First,18-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1375,Air India,18-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1376,Go First,18-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1377,Air India,18-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1378,IndiGo,18-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1379,IndiGo,18-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1380,Vistara,18-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1381,Vistara,18-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1382,Vistara,18-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1383,Vistara,18-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1384,Vistara,18-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1385,IndiGo,18-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1386,IndiGo,19-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1387,Air India,19-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1388,IndiGo,19-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1389,IndiGo,19-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1390,IndiGo,19-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1391,IndiGo,19-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1392,IndiGo,19-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1393,IndiGo,19-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1394,IndiGo,19-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1395,IndiGo,19-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1396,IndiGo,19-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1397,Go First,19-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1398,Go First,19-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1399,Go First,19-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1400,Air India,19-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1401,Go First,19-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1402,Air India,19-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1403,IndiGo,19-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1404,IndiGo,19-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1405,Vistara,19-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1406,Vistara,19-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1407,Vistara,19-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1408,Vistara,19-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1409,Vistara,19-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1410,IndiGo,19-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1411,IndiGo,20-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1412,Air India,20-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1413,IndiGo,20-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1414,IndiGo,20-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1415,IndiGo,20-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1416,IndiGo,20-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1417,IndiGo,20-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1418,IndiGo,20-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1419,IndiGo,20-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1420,IndiGo,20-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1421,IndiGo,20-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1422,Go First,20-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1423,Go First,20-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1424,Go First,20-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1425,Air India,20-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1426,Go First,20-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1427,Air India,20-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1428,IndiGo,20-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1429,IndiGo,20-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1430,Vistara,20-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1431,Vistara,20-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1432,Vistara,20-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1433,Vistara,20-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1434,Vistara,20-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1435,IndiGo,20-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1436,IndiGo,21-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1437,Air India,21-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1438,IndiGo,21-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1439,IndiGo,21-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1440,IndiGo,21-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1441,IndiGo,21-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1442,IndiGo,21-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1443,IndiGo,21-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1444,IndiGo,21-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1445,IndiGo,21-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1446,IndiGo,21-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1447,Go First,21-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1448,Go First,21-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1449,Go First,21-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1450,Air India,21-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1451,Go First,21-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1452,Air India,21-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1453,IndiGo,21-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1454,IndiGo,21-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1455,Vistara,21-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1456,Vistara,21-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1457,Vistara,21-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1458,Vistara,21-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1459,Vistara,21-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1460,IndiGo,21-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1461,IndiGo,22-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1462,Air India,22-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1463,IndiGo,22-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1464,IndiGo,22-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1465,IndiGo,22-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1466,IndiGo,22-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1467,IndiGo,22-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1468,IndiGo,22-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1469,IndiGo,22-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1470,IndiGo,22-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1471,IndiGo,22-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1472,Go First,22-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1473,Go First,22-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1474,Go First,22-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1475,Air India,22-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1476,Go First,22-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1477,Air India,22-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1478,IndiGo,22-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1479,IndiGo,22-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1480,Vistara,22-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1481,Vistara,22-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1482,Vistara,22-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1483,Vistara,22-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1484,Vistara,22-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1485,IndiGo,22-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1486,IndiGo,23-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1487,Air India,23-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1488,IndiGo,23-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1489,IndiGo,23-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1490,IndiGo,23-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1491,IndiGo,23-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1492,IndiGo,23-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1493,IndiGo,23-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1494,IndiGo,23-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1495,IndiGo,23-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1496,IndiGo,23-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1497,Go First,23-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1498,Go First,23-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1499,Go First,23-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1500,Air India,23-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1501,Go First,23-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1502,Air India,23-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1503,IndiGo,23-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1504,IndiGo,23-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1505,Vistara,23-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1506,Vistara,23-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1507,Vistara,23-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1508,Vistara,23-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1509,Vistara,23-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1510,IndiGo,23-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1511,IndiGo,24-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1512,Air India,24-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1513,IndiGo,24-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1514,IndiGo,24-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1515,IndiGo,24-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1516,IndiGo,24-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1517,IndiGo,24-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1518,IndiGo,24-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1519,IndiGo,24-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1520,IndiGo,24-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1521,IndiGo,24-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1522,Go First,24-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1523,Go First,24-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1524,Go First,24-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1525,Air India,24-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1526,Go First,24-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1527,Air India,24-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1528,IndiGo,24-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1529,IndiGo,24-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1530,Vistara,24-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1531,Vistara,24-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1532,Vistara,24-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1533,Vistara,24-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1534,Vistara,24-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1535,IndiGo,24-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1536,IndiGo,25-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1537,Air India,25-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1538,IndiGo,25-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1539,IndiGo,25-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1540,IndiGo,25-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1541,IndiGo,25-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1542,IndiGo,25-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1543,IndiGo,25-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1544,IndiGo,25-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1545,IndiGo,25-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1546,IndiGo,25-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1547,Go First,25-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1548,Go First,25-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1549,Go First,25-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1550,Air India,25-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1551,Go First,25-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1552,Air India,25-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1553,IndiGo,25-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1554,IndiGo,25-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1555,Vistara,25-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1556,Vistara,25-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1557,Vistara,25-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1558,Vistara,25-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1559,Vistara,25-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1560,IndiGo,25-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1561,IndiGo,26-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1562,Air India,26-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1563,IndiGo,26-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1564,IndiGo,26-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1565,IndiGo,26-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1566,IndiGo,26-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1567,IndiGo,26-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,558"
1568,IndiGo,26-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1569,IndiGo,26-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1570,IndiGo,26-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1571,IndiGo,26-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1572,Go First,26-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1573,Go First,26-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1574,Go First,26-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"13,206"
1575,Air India,26-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1576,Go First,26-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1577,Air India,26-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1578,IndiGo,26-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1579,IndiGo,26-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1580,Vistara,26-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1581,Vistara,26-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1582,Vistara,26-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1583,Vistara,26-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1584,Vistara,26-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1585,IndiGo,26-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
1586,IndiGo,27-10-2021,Lucknow,Goa,06:05,14:55,8h 50m,1 Stop,"7,463"
1587,Air India,27-10-2021,Lucknow,Goa,08:55,18:55,10h 00m,1 Stop,"9,830"
1588,IndiGo,27-10-2021,Lucknow,Goa,16:20,21:10,4h 50m,1 Stop,"9,878"
1589,IndiGo,27-10-2021,Lucknow,Goa,07:25,15:30,8h 05m,1 Stop,"10,330"
1590,IndiGo,27-10-2021,Lucknow,Goa,08:05,14:20,6h 15m,1 Stop,"10,692"
1591,IndiGo,27-10-2021,Lucknow,Goa,08:05,15:30,7h 25m,1 Stop,"11,348"
1592,IndiGo,27-10-2021,Lucknow,Goa,14:10,19:20,5h 10m,1 Stop,"11,768"
1593,IndiGo,27-10-2021,Lucknow,Goa,08:05,19:20,11h 15m,1 Stop,"11,768"
1594,IndiGo,27-10-2021,Lucknow,Goa,07:10,17:35,10h 25m,1 Stop,"11,873"
1595,IndiGo,27-10-2021,Lucknow,Goa,08:05,18:00,9h 55m,1 Stop,"11,978"
1596,Go First,27-10-2021,Lucknow,Goa,20:10,"11:05
+ 1 day",14h 55m,1 Stop,"12,260"
1597,IndiGo,27-10-2021,Lucknow,Goa,07:50,14:50,7h 00m,1 Stop,"12,503"
1598,Go First,27-10-2021,Lucknow,Goa,06:20,13:10,6h 50m,1 Stop,"12,581"
1599,Go First,27-10-2021,Lucknow,Goa,20:10,"06:50
+ 1 day",10h 40m,1 Stop,"12,680"
1600,Air India,27-10-2021,Lucknow,Goa,11:05,"06:50
+ 1 day",19h 45m,1 Stop,"13,344"
1601,Go First,27-10-2021,Lucknow,Goa,08:50,15:10,6h 20m,1 Stop,"13,869"
1602,Air India,27-10-2021,Lucknow,Goa,11:05,20:30,9h 25m,1 Stop,"14,237"
1603,IndiGo,27-10-2021,Lucknow,Goa,07:10,13:55,6h 45m,1 Stop,"14,393"
1604,IndiGo,27-10-2021,Lucknow,Goa,09:45,15:50,6h 05m,1 Stop,"14,498"
1605,Vistara,27-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1606,Vistara,27-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1607,Vistara,27-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1608,Vistara,27-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1609,Vistara,27-10-2021,Lucknow,Goa,15:25,"11:35
+ 1 day",20h 10m,2 Stop(s),"14,690"
1610,IndiGo,27-10-2021,Lucknow,Goa,09:40,14:50,5h 10m,1 Stop,"14,864"
